u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
7751,32704,0,0,0,0,0,0,0,3.0,
326,336,0,0,622,22624,1,4879,1,1549779.0,
12582,18139,0,0,0,0,0,0,0,5.0,
2119,14897,0,0,578,21643,1,3912,1,1386862.0,
6056,64154,0,0,0,0,0,0,0,1.0,
108,275,0,0,1320,30392,1,5468,58,1701909.0,
1813,45371,0,0,0,0,0,0,0,2.0,
1771,4250,0,0,788,25078,1,3631,3,1715321.0,
6050,22180,0,0,0,0,0,0,0,3.0,
2660,19226,0,0,0,0,0,0,0,1.0,
3684,4737,0,0,0,0,0,0,0,1.0,
663,1203,0,0,638,22727,1,4656,2,1523968.0,
4275,26651,0,0,0,0,0,0,0,1.0,
14,75134,0,0,0,0,0,0,0,3.0,
12544,44219,0,0,0,0,0,0,0,3.0,
20279,23158,0,0,25,1208,1,324,14,1529721.0,
200,1055,0,0,2,384,1,244,1,1524705.0,
12636,25570,0,0,0,0,0,0,0,6.0,
3920,13288,0,0,0,0,0,0,0,2.0,
32878,70400,0,0,0,0,0,0,0,2.0,
722,1795,0,0,998,27512,1,3894,6,1836228.0,
56551,71664,0,0,0,0,0,0,0,5.0,
8611,13302,0,0,322,16693,1,2309,1,1759367.0,
1282,12057,0,0,0,0,0,0,0,1.0,
190,3643,0,0,89,8275,1,2685,1,2101794.0,
957,6939,0,0,884,26693,1,2252,2,1497095.0,
2178,15175,0,0,0,0,0,0,0,3.0,
323,2758,0,0,0,0,0,0,0,4.0,
2495,8460,0,0,519,20589,1,2651,2,1921825.0,
7,2924,0,0,622,22478,1,2255,54,1812349.0,
20580,64569,0,0,0,0,0,0,0,1.0,
19797,60959,0,0,0,0,0,0,0,1.0,
713,795,0,0,795,25114,1,3736,20,1692331.0,
3126,6722,0,0,0,0,0,0,0,1.0,
44333,53443,0,0,0,0,0,0,0,3.0,
380,6191,0,0,0,0,0,0,0,12.0,
3254,21671,0,0,2,137,1,87,1,1111.0,
183,14729,0,0,0,0,0,0,0,9.0,
7647,63944,0,0,0,0,0,0,0,1.0,
1016,1104,0,0,136,11494,1,1919,1,2693971.0,
8510,9118,0,0,1519,32207,1,4256,10,1461905.0,
3254,16736,0,0,0,0,0,0,0,1.0,
6489,17944,0,0,323,16670,1,4722,4,1896403.0,
488,1778,0,0,1124,28796,1,5231,4,1901125.0,
306,1958,0,0,388,18859,1,3547,1,1979200.0,
1677,13723,0,0,0,0,0,0,0,1.0,
44943,73015,0,0,0,0,0,0,0,1.0,
334,4723,0,0,683,23487,1,2560,1,1494839.0,
3984,5060,0,0,0,0,0,0,0,1.0,
3719,3762,0,0,664,23233,1,1421,1,1714868.0,
0,1392,0,0,16,1545,1,1047,5,1522222.0,
6138,22334,0,0,0,0,0,0,0,1.0,
