u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
191421,256409,0,0,14,73,1,18,13,1322.0,
287799,291499,0,0,4,8,1,12,3,484.0,
29094,92018,0,0,297,6937,1,3496,1,284603.0,
40057,132200,0,0,13,861,1,799,0,18727.0,
86070,99078,0,0,3,12,1,11,1,480.0,
49704,49731,0,0,15,65,1,16,15,642.0,
8074,187537,0,0,2,85,1,64,0,59619.0,
8511,49480,0,0,0,0,0,0,0,1.0,
96716,96720,0,0,38,186,1,108,8,202661.0,
7802,7804,0,0,0,0,0,0,0,0.0,
6641,11535,0,0,2,79,1,33,1,172901.0,
269803,269804,0,0,7,15,1,7,7,475.0,
29887,260097,0,0,378,7890,1,7534,2,260542.0,
7726,14781,0,0,188,5294,1,3483,4,188052.0,
11980,34679,0,0,5,62,1,33,1,219411.0,
38686,160105,0,0,2,50,1,32,1,273780.0,
9773,57187,0,0,10,523,1,55,7,17115.0,
9726,42223,0,0,2,104,1,78,0,12817.0,
56808,132751,0,0,4,18,1,8,2,485.0,
170029,170031,0,0,6,4,1,7,6,227452.0,
20198,20218,0,0,2,22,1,15,1,99517.0,
61615,61617,0,0,2,5,1,2,1,237012.0,
5154,12793,1,1,19818,0,1,0,0,229115.0,
12432,74364,0,0,2,14,1,10,1,873.0,
186766,186767,1,1,19818,0,1,0,0,200199.0,
98407,98416,0,0,2,12,1,6,0,838.0,
67809,87658,0,0,5,75,1,49,3,282377.0,
45144,45146,0,0,2,30,1,14,0,200052.0,
97090,108653,0,0,8,67,1,26,6,72235.0,
58383,58389,0,0,14,80,1,15,14,724.0,
69902,104630,0,0,48,264,1,49,48,2061.0,
161401,161405,0,0,9,28,1,12,9,932.0,
23166,31800,0,0,2,46,1,9,0,258231.0,
87966,87968,0,0,5,20,1,10,5,1042.0,
237080,237086,0,0,2,6,1,5,1,402.0,
98290,134696,0,0,0,0,0,0,0,1.0,
10570,49166,0,0,18,616,1,62,17,16036.0,
1257,6889,0,0,4,202,1,97,2,249860.0,
238888,238889,0,0,8,20,1,13,8,661.0,
15581,22548,0,0,0,0,0,0,0,0.0,
10666,10669,0,0,14,189,1,26,13,45142.0,
47986,213464,0,0,20,32,1,20,20,957.0,
69860,102108,0,0,3,12,1,5,2,520.0,
23630,35579,0,0,9,398,1,238,3,167334.0,
120859,279290,0,0,5,10,1,10,4,132383.0,
9799,77950,0,0,9,324,1,136,8,96871.0,
60785,60806,0,0,48,269,1,314,48,19790.0,
136545,136552,0,0,7,20,1,8,7,514.0,
79307,79309,0,0,3,1,1,3,3,473.0,
29959,30008,0,0,19,148,1,19,19,1086.0,
210233,246064,0,0,5,12,1,8,1,187732.0,
89563,89567,0,0,10,26,1,11,9,843.0,
1036,3374,0,0,13,317,1,33,13,37822.0,
87572,98757,0,0,3,28,1,25,2,187903.0,
16285,149239,0,0,298,6947,1,4483,3,150429.0,
23973,131060,0,0,18,491,1,193,4,188192.0,
69568,111588,0,0,2,8,1,6,0,521.0,
19004,19006,0,0,3,5,1,4,2,946.0,
17090,170714,0,0,2,68,1,38,0,49881.0,
29315,29317,0,0,3,6,1,7,2,494.0,
73032,240016,0,0,2,10,1,6,1,403.0,
77719,91956,0,0,154,4325,1,1858,0,175426.0,
46938,46941,0,0,14,223,1,32,14,17056.0,
115982,115983,0,0,2,9,1,6,1,49322.0,
44903,306206,0,0,2,3,1,3,1,499.0,
69361,200740,0,0,3,20,1,13,1,128270.0,
291425,291429,0,0,8,11,1,9,8,1060.0,
63927,73516,0,0,343,8006,1,3725,4,273894.0,
6806,6812,0,0,8,12,1,9,8,503.0,
14068,129230,0,0,3,99,1,56,1,165698.0,
192123,192124,0,0,4,4,1,5,4,890.0,
75170,75192,0,0,9,30,1,33,9,125152.0,
5865,45645,0,0,102,848,1,102,102,36555.0,
395,1315,0,0,4,71,1,54,2,43932.0,
109780,261196,0,0,3,11,1,7,2,720.0,
23152,23161,0,0,18,257,1,176,3,174407.0,
68392,68393,0,0,4,4,1,6,4,545.0,
31016,58848,0,0,15,195,1,18,14,31025.0,
215026,215028,0,0,4,12,1,6,3,576.0,
196637,251434,0,0,3,4,1,6,3,466.0,
1277,1287,0,0,5,121,1,23,3,124552.0,
