dataset,s,r,tree_build_ms,prog_time_ms,num_leaves,clique_index_ms,max_rss_kb,exit_status,cmd,timestamp
/data1/wenqianz/com-dblp.edges,3,24,609.234,6364354.0,1566.0,89.7526,3103076.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 24,2025-08-31 10:13:38
/data1/wenqianz/com-dblp.edges,3,25,606.547,1480438.0,1395.0,86.9427,10936836.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 25,2025-08-31 11:59:44
/data1/wenqianz/com-dblp.edges,3,26,611.408,95244.0,1240.0,84.7072,6123804.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 26,2025-08-31 12:24:27
/data1/wenqianz/com-dblp.edges,3,27,503.611,74703.0,1100.0,71.7171,5795084.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 27,2025-08-31 12:26:04
/data1/wenqianz/com-dblp.edges,3,28,605.622,5992564.0,975.0,81.3024,3517712.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 28,2025-08-31 12:27:19
/data1/wenqianz/com-dblp.edges,3,29,611.721,126318.0,866.0,79.341,1457164.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 29,2025-08-31 14:07:13
/data1/wenqianz/com-dblp.edges,3,30,496.113,62815.0,769.0,66.3408,5437016.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 3 30,2025-08-31 14:09:21
/data1/wenqianz/com-youtube.edges,1,3,23330.8,3782.0,2362215.0,,8436604.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 3,2025-09-01 15:55:57
/data1/wenqianz/com-youtube.edges,1,4,23268.8,4617.0,2555040.0,,9184968.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 4,2025-09-01 15:56:28
/data1/wenqianz/com-youtube.edges,1,5,22971.5,5022.0,2248530.0,,8218172.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 5,2025-09-01 15:57:00
/data1/wenqianz/com-youtube.edges,1,6,22955.9,2707.0,1640724.0,,6171940.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 6,2025-09-01 15:57:32
/data1/wenqianz/com-youtube.edges,1,7,23546.5,1934.0,1051537.0,,4157108.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 7,2025-09-01 15:58:01
/data1/wenqianz/com-youtube.edges,1,8,22515.9,1171.0,606659.0,,2623064.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 8,2025-09-01 15:58:30
/data1/wenqianz/com-youtube.edges,1,9,21992.2,666.0,316242.0,,1609124.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 9,2025-09-01 15:58:56
/data1/wenqianz/com-youtube.edges,1,10,23296.7,367.0,147090.0,,1012936.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 10,2025-09-01 15:59:21
/data1/wenqianz/com-youtube.edges,1,11,22186.6,232.0,60952.0,,707328.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 11,2025-09-01 15:59:47
/data1/wenqianz/com-youtube.edges,1,12,22080.2,159.0,22045.0,,567888.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 12,2025-09-01 16:00:12
/data1/wenqianz/com-youtube.edges,1,13,22548.6,140.0,6911.0,,548452.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 13,2025-09-01 16:00:36
/data1/wenqianz/com-youtube.edges,1,14,22077.9,130.0,1703.0,,545960.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 14,2025-09-01 16:01:01
/data1/wenqianz/com-youtube.edges,1,15,22007.2,127.0,303.0,,545140.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 15,2025-09-01 16:01:25
/data1/wenqianz/com-youtube.edges,1,16,23006.1,129.0,50.0,,545108.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 16,2025-09-01 16:01:50
/data1/wenqianz/com-youtube.edges,1,17,22036.5,133.0,2.0,,545092.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 17,2025-09-01 16:02:15
/data1/wenqianz/com-youtube.edges,1,18,22244.6,117.0,0.0,,545028.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 18,2025-09-01 16:02:39
/data1/wenqianz/com-youtube.edges,1,19,22346.1,122.0,0.0,,545084.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 19,2025-09-01 16:03:03
/data1/wenqianz/com-youtube.edges,1,20,22576.7,119.0,0.0,,545092.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 20,2025-09-01 16:03:28
/data1/wenqianz/com-youtube.edges,1,21,22710.4,118.0,0.0,,545020.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 21,2025-09-01 16:03:53
/data1/wenqianz/com-youtube.edges,1,22,22111.7,121.0,0.0,,545096.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 1 22,2025-09-01 16:04:18
