meta	phase	duration_ms	rss_kb	delta_rss_kb	component_bytes
graph=com-youtube,r=1,s=12,algo=ref,run=1	prepareGraph	70.2302	164080	-19304	0
graph=com-youtube,r=1,s=12,algo=ref,run=1	REF_initSupports	2.09347	164080	0	9079128
graph=com-youtube,r=1,s=12,algo=ref,run=1	REF_heapBuild	41.4726	217144	53064	32321744
graph=com-youtube,r=1,s=12,algo=ref,run=1	REF_peel_loop	147.797	394552	177408	0
graph=com-youtube,r=1,s=12,algo=ref,run=1	dispatch_total	9.07965	217532	-177020	0
graph=com-youtube,r=1,s=12,algo=ref,run=2	loadAndSort	1639.63	111900	109744	0
graph=com-youtube,r=1,s=12,algo=ref,run=2	buildSDCT	2615.88	183296	71396	363216
graph=com-youtube,r=1,s=12,algo=ref,run=2	preMutation	0.188515	183296	0	0
graph=com-youtube,r=1,s=12,algo=ref,run=2	prepareGraph	69.2602	163984	-19312	0
graph=com-youtube,r=1,s=12,algo=ref,run=2	REF_initSupports	2.05694	163984	0	9079128
graph=com-youtube,r=1,s=12,algo=ref,run=2	REF_heapBuild	41.3314	217048	53064	32321744
graph=com-youtube,r=1,s=12,algo=ref,run=2	REF_peel_loop	148.45	394456	177408	0
graph=com-youtube,r=1,s=12,algo=ref,run=2	dispatch_total	9.14719	217436	-177020	0
graph=com-youtube,r=1,s=16,algo=ours,run=0	loadAndSort	1639.7	112096	109972	0
graph=com-youtube,r=1,s=16,algo=ours,run=0	buildSDCT	2458.4	116812	4716	1152
graph=com-youtube,r=1,s=16,algo=ours,run=0	preMutation	0.072786	116812	0	0
graph=com-youtube,r=1,s=16,algo=ours,run=0	prepareGraph	69.2025	97272	-19540	0
graph=com-youtube,r=1,s=16,algo=ours,run=0	dispatch_total	8.41328	106044	8772	0
graph=com-youtube,r=1,s=16,algo=ours,run=1	loadAndSort	2057.28	112192	110068	0
graph=com-youtube,r=1,s=16,algo=ours,run=1	buildSDCT	2451.84	116844	4652	1152
graph=com-youtube,r=1,s=16,algo=ours,run=1	preMutation	0.08121	116844	0	0
graph=com-youtube,r=1,s=16,algo=ours,run=1	prepareGraph	68.7026	97304	-19540	0
graph=com-youtube,r=1,s=16,algo=ours,run=1	dispatch_total	8.22693	106076	8772	0
graph=com-youtube,r=1,s=16,algo=ours,run=2	loadAndSort	1612.76	112176	110064	0
graph=com-youtube,r=1,s=16,algo=ours,run=2	buildSDCT	2467.87	116832	4656	1152
graph=com-youtube,r=1,s=16,algo=ours,run=2	preMutation	0.081613	116832	0	0
graph=com-youtube,r=1,s=16,algo=ours,run=2	prepareGraph	68.8331	97292	-19540	0
graph=com-youtube,r=1,s=16,algo=ours,run=2	dispatch_total	8.07881	106064	8772	0
graph=com-youtube,r=1,s=16,algo=ref,run=0	loadAndSort	1964.39	112124	110000	0
graph=com-youtube,r=1,s=16,algo=ref,run=0	buildSDCT	2450.28	178708	66584	1152
graph=com-youtube,r=1,s=16,algo=ref,run=0	preMutation	0.059803	178708	0	0
graph=com-youtube,r=1,s=16,algo=ref,run=0	prepareGraph	69.5028	159368	-19340	0
graph=com-youtube,r=1,s=16,algo=ref,run=0	REF_initSupports	0.635861	159368	0	9079128
graph=com-youtube,r=1,s=16,algo=ref,run=0	REF_heapBuild	40.0232	211640	52272	31778648
graph=com-youtube,r=1,s=16,algo=ref,run=0	REF_peel_loop	132.024	389048	177408	0
graph=com-youtube,r=1,s=16,algo=ref,run=0	dispatch_total	16.417	211856	-177192	0
graph=com-youtube,r=1,s=16,algo=ref,run=1	loadAndSort	1885.41	112228	110044	0
graph=com-youtube,r=1,s=16,algo=ref,run=1	buildSDCT	2447.83	178812	66584	1152
graph=com-youtube,r=1,s=16,algo=ref,run=1	preMutation	0.072279	178812	0	0
graph=com-youtube,r=1,s=16,algo=ref,run=1	prepareGraph	69.1186	159408	-19404	0
graph=com-youtube,r=1,s=16,algo=ref,run=1	REF_initSupports	0.632901	159408	0	9079128
graph=com-youtube,r=1,s=16,algo=ref,run=1	REF_heapBuild	39.657	211680	52272	31778648
graph=com-youtube,r=1,s=16,algo=ref,run=1	REF_peel_loop	131.533	389088	177408	0
graph=com-youtube,r=1,s=16,algo=ref,run=1	dispatch_total	16.5577	211896	-177192	0
graph=com-youtube,r=1,s=16,algo=ref,run=2	loadAndSort	2052.01	112196	110072	0
graph=com-youtube,r=1,s=16,algo=ref,run=2	buildSDCT	2447.47	178780	66584	1152
graph=com-youtube,r=1,s=16,algo=ref,run=2	preMutation	0.073101	178780	0	0
graph=com-youtube,r=1,s=16,algo=ref,run=2	prepareGraph	69.4099	159376	-19404	0
graph=com-youtube,r=1,s=16,algo=ref,run=2	REF_initSupports	0.645604	159376	0	9079128
graph=com-youtube,r=1,s=16,algo=ref,run=2	REF_heapBuild	39.5623	211708	52332	31778648
graph=com-youtube,r=1,s=16,algo=ref,run=2	REF_peel_loop	131.78	389116	177408	0
graph=com-youtube,r=1,s=16,algo=ref,run=2	dispatch_total	16.4612	211928	-177188	0
graph=web-Stanford,r=1,s=3,algo=ours,run=0	loadAndSort	1256.78	51764	49624	0
graph=web-Stanford,r=1,s=3,algo=ours,run=0	buildSDCT	6602.36	331992	280228	30154944
graph=web-Stanford,r=1,s=3,algo=ours,run=0	preMutation	0.666422	331992	0	0
graph=web-Stanford,r=1,s=3,algo=ours,run=0	prepareGraph	41.7996	337204	5212	0
graph=web-Stanford,r=1,s=3,algo=ours,run=0	dispatch_total	382.75	346552	9348	0
graph=web-Stanford,r=1,s=3,algo=ours,run=1	loadAndSort	997.511	51664	49552	0
graph=web-Stanford,r=1,s=3,algo=ours,run=1	buildSDCT	6413.73	332016	280352	30154944
graph=web-Stanford,r=1,s=3,algo=ours,run=1	preMutation	0.675723	332016	0	0
