graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
com-dblp,8,11,V3,SKIP_TIMEOUT,,,,,,
com-dblp,8,11,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,9,11,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,11,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,11,V3,SKIP_TIMEOUT,,,,,,
com-dblp,9,11,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,10,11,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,11,ST,SKIP_TIMEOUT,,,,,,
com-dblp,10,11,V3,SKIP_TIMEOUT,,,,,,
com-dblp,10,11,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,3,12,REF,OK,3023.5,1535.5,,,,308832
com-dblp,4,12,REF,OK,38286.7,35120.2,,,,1851508
com-dblp,6,12,V3,OK,422559.8,408011.0,,397366.0,,1900484
com-dblp,8,12,V3,OK,1109251.6,1105066.0,,988275.0,,12586944
com-dblp,7,12,V3,OK,1357107.2,1353063.0,,1307918.0,,6327256
com-dblp,9,12,REF,OOM,,,,,,
com-dblp,6,7,REF,TIMEOUT,,,,,,
com-dblp,10,12,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,8,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,8,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,10,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,10,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,10,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,10,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,12,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,12,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,9,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,12,REF,SKIP_TIMEOUT,,,,,,
com-dblp,3,13,REF,OK,3023.2,1474.8,,,,302152
com-dblp,3,13,ST,OK,4033.4,1991.4,,,,448016
com-dblp,3,13,V3,OK,3025.5,845.0,,760.0,,84080
com-dblp,6,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,4,13,V3,OK,13096.7,9713.0,,9242.0,,188620
com-dblp,4,13,REF,OK,37246.1,34376.5,,,,1810144
com-dblp,7,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,5,13,V3,OK,44282.0,40675.0,,38697.0,,483512
com-dblp,4,13,ST,OK,52340.4,48016.6,,,,2668428
com-dblp,4,13,V3_NP,OK,56356.7,54211.0,,52641.0,,495392
com-dblp,5,10,REF,OK,879542.9,845968.0,,,,28932248
com-dblp,5,12,REF,OK,911562.6,875098.0,,,,28893980
com-dblp,5,12,ST,OK,1179017.8,1.1,,,,31703012
com-dblp,7,12,ST,OOM,,,,,,
com-dblp,6,12,V3_NP,OK,1501669.9,1498778.0,,1458240.0,,8575732
com-dblp,8,12,V3_NP,TIMEOUT,,,,,,
com-dblp,7,12,V3_NP,TIMEOUT,,,,,,
com-dblp,8,12,REF,TIMEOUT,,,,,,
com-dblp,8,12,ST,TIMEOUT,,,,,,
com-dblp,6,12,ST,OOM,,,,,,
com-dblp,7,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,6,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,11,12,ST,SKIP_TIMEOUT,,,,,,
com-dblp,8,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,10,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,11,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,12,13,REF,SKIP_TIMEOUT,,,,,,
com-dblp,12,13,ST,SKIP_TIMEOUT,,,,,,
com-dblp,3,14,REF,OK,3023.7,1513.3,,,,294820
com-dblp,3,14,ST,OK,3018.3,1756.0,,,,411560
com-dblp,3,14,V3,OK,3020.1,894.0,,807.0,,80324
com-dblp,4,14,REF,OK,38213.8,33911.6,,,,1811720
com-dblp,4,14,ST,OK,50254.1,46913.9,,,,2650428
com-dblp,4,14,V3,OK,13046.8,9202.0,,8765.0,,179416
com-dblp,6,13,V3,OK,259434.7,257459.0,,249018.0,,1538580
com-dblp,7,9,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,9,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,12,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,12,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,10,12,ST,SKIP_TIMEOUT,,,,,,
com-dblp,10,12,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,11,12,V3_NP,SKIP_TIMEOUT,,,,,,
com-dblp,5,14,V3,OK,37223.5,35678.0,,34034.0,,454840
com-dblp,6,14,V3,OK,238482.8,235426.0,,227970.0,,1345992
com-dblp,6,13,V3_NP,OK,898482.0,895645.0,,863421.0,,1262644
com-dblp,5,13,REF,OK,952762.4,916187.0,,,,28870472
com-dblp,8,13,V3,OK,958782.0,955805.0,,872399.0,,8938496
com-dblp,3,14,V3_NP,OK,1042213.1,1038381.0,,1038111.0,,175472
com-dblp,7,13,V3,OK,1060361.4,1056853.0,,1023509.0,,4674516
com-dblp,5,13,ST,OK,1162930.7,1.1,,,,31745252
com-dblp,3,13,V3_NP,OK,1207184.9,1204223.0,,1203969.0,,164476
com-dblp,9,13,V3,OK,1704697.2,1700022.0,,1431884.0,,24058424
com-dblp,9,12,V3,OK,2428692.3,2424813.0,,2057374.0,,33919152
com-dblp,3,12,V3_NP,OK,3075240.1,3073215.0,,3072904.0,,170448
com-dblp,10,12,V3,TIMEOUT,,,,,,
com-dblp,11,12,V3,TIMEOUT,,,,,,
com-dblp,8,13,V3_NP,TIMEOUT,,,,,,
com-dblp,7,13,V3_NP,TIMEOUT,,,,,,
com-dblp,5,13,V3_NP,TIMEOUT,,,,,,
com-dblp,10,13,V3_NP,TIMEOUT,,,,,,
com-dblp,10,13,V3,TIMEOUT,,,,,,
com-dblp,9,13,V3_NP,TIMEOUT,,,,,,
com-dblp,12,13,V3,TIMEOUT,,,,,,
com-dblp,11,13,V3_NP,TIMEOUT,,,,,,
com-dblp,11,13,V3,TIMEOUT,,,,,,
com-dblp,5,14,REF,OK,964148.8,928135.0,,,,28833352
com-dblp,7,14,V3,OK,1170357.7,1166574.0,,1135092.0,,4756392
com-dblp,5,14,ST,OK,1206664.2,1.2,,,,31726572
com-dblp,7,14,ST,OOM,,,,,,
com-dblp,12,14,ST,SKIP_TIMEOUT,,,,,,
com-dblp,11,14,ST,SKIP_TIMEOUT,,,,,,
com-dblp,10,14,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,14,ST,SKIP_TIMEOUT,,,,,,
com-dblp,8,14,ST,SKIP_TIMEOUT,,,,,,
com-dblp,13,14,ST,SKIP_TIMEOUT,,,,,,
com-dblp,6,14,REF,OOM,,,,,,
com-dblp,5,14,V3_NP,OOM,,,,,,
com-dblp,4,14,V3_NP,OOM,,,,,,
com-dblp,12,13,V3_NP,OOM,,,,,,
com-dblp,6,14,ST,OOM,,,,,,
com-dblp,8,14,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,14,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,14,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,14,REF,SKIP_TIMEOUT,,,,,,
com-dblp,3,15,REF,OK,3022.2,1547.3,,,,297020
com-dblp,3,15,ST,OK,4031.6,2026.1,,,,397536
com-dblp,6,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,4,15,V3,OK,7062.2,5480.0,,5190.0,,145708
com-dblp,7,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,3,15,V3,OK,13120.7,10861.0,,10746.0,,73632
com-dblp,8,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,4,15,REF,OK,36278.0,33669.1,,,,1813908
com-dblp,10,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,15,ST,SKIP_TIMEOUT,,,,,,
com-dblp,5,15,V3,OK,37275.8,34840.0,,33225.0,,413504
com-dblp,4,15,ST,OK,52382.0,48717.0,,,,2622444
com-dblp,11,15,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,15,ST,SKIP_TIMEOUT,,,,,,
