graph,s,algo,status,wall_ms,total_ms,build_ms,peel_ms,hier_ms,mem_kB
wiki-Talk,7,ST_V3_HIER,OK,294373.2,125309.0,163446.0,9052.9,116256.0,33009284
wiki-Talk,11,ST_V3_HIER,OK,297482.5,128294.0,163205.0,10137.0,118157.0,35153396
wiki-Talk,9,ST_V3_HIER,OK,310233.9,138399.0,168021.0,10458.6,127940.0,37484876
com-orkut,15,ST_V3_HIER,OOM_KILL_NEWEST,468160.2,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,15,ST_V3,OOM_KILL_NEWEST,481359.7,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,13,ST_V3_HIER,OOM_KILL_NEWEST,513052.9,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,13,ST_V3,OOM_KILL_NEWEST,532835.3,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,11,ST_V3_HIER,OOM_KILL_NEWEST,550348.6,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,11,ST_V3,OOM_KILL_NEWEST,562435.2,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,9,ST_V3_HIER,OOM_KILL_NEWEST,744165.8,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,9,ST_V3,OOM_KILL_NEWEST,852234.5,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,7,ST_V3_HIER,OOM_KILL_NEWEST,949533.0,-1.0,-1.0,-1.0,-1.0,-1
com-orkut,3,ST_V3,OK,1206454.6,48644.7,-1.0,48644.7,-1.0,31056200
com-orkut,3,ST_V3_HIER,OK,1444521.0,298882.0,-1.0,48939.6,249943.0,60306808
com-amazon.ungraph,5,REF_R1,OK,1386.4,163.9,288.2,-1.0,-1.0,132268
com-amazon.ungraph,7,REF_R1,OK,1174.5,81.2,227.1,-1.0,-1.0,117228
com-amazon.ungraph,9,REF_R1,OK,1176.0,76.8,232.4,-1.0,-1.0,117476
com-amazon.ungraph,7,REF_R1_HIER,OK,1389.2,218.0,239.3,-1.0,2.9,130512
com-amazon.ungraph,3,REF_R1,OK,2137.0,650.2,554.5,-1.0,-1.0,199740
com-amazon.ungraph,9,REF_R1_HIER,OK,1391.8,172.3,235.4,-1.0,3.0,130548
com-amazon.ungraph,11,REF_R1,OK,1285.3,76.8,227.8,-1.0,-1.0,117280
com-amazon.ungraph,13,REF_R1,OK,1070.9,74.2,180.5,-1.0,-1.0,117300
com-amazon.ungraph,5,REF_R1_HIER,OK,1925.8,791.1,291.5,-1.0,30.7,148432
com-amazon.ungraph,11,REF_R1_HIER,OK,1287.3,141.7,219.2,-1.0,1.8,130532
com-amazon.ungraph,13,REF_R1_HIER,OK,1177.7,141.6,176.2,-1.0,1.8,130508
com-amazon.ungraph,15,REF_R1,OK,1071.0,67.0,146.7,-1.0,-1.0,117512
com-amazon.ungraph,15,REF_R1_HIER,OK,1176.2,136.7,145.2,-1.0,1.8,130620
com-amazon.ungraph,3,REF_R1_HIER,OK,2780.1,1355.3,556.3,-1.0,185.4,228668
com-dblp,5,REF_R1,OK,1504.4,175.9,443.5,-1.0,-1.0,147532
com-dblp,7,REF_R1,OK,1290.1,101.3,355.0,-1.0,-1.0,128312
com-dblp,9,REF_R1,OK,1075.0,69.7,262.5,-1.0,-1.0,121608
com-dblp,3,REF_R1,OK,1827.9,330.1,569.3,-1.0,-1.0,208092
com-dblp,11,REF_R1,OK,1287.9,71.9,305.4,-1.0,-1.0,119224
com-dblp,13,REF_R1,OK,1181.6,68.8,290.0,-1.0,-1.0,117788
com-dblp,15,REF_R1,OK,1182.6,66.4,262.6,-1.0,-1.0,117084
com-dblp,15,REF_R1_HIER,OK,2358.3,1390.6,246.7,-1.0,23.4,179468
com-dblp,13,REF_R1_HIER,OK,2799.1,1649.7,275.6,-1.0,31.4,190344
