graph,s,algo,phase,n_runs,time_ms,rss_kb,delta_rss_kb,component_bytes
com-youtube,8,ref,loadAndSort,3,1638.340,112076,109848,0
com-youtube,8,ref,buildSDCT,3,2986.620,250528,138452,7078296
com-youtube,8,ref,preMutation,3,0.476,250528,0,0
com-youtube,8,ref,prepareGraph,3,69.318,231088,-19440,0
com-youtube,8,ref,REF_initSupports,3,19.031,231088,0,9079128
com-youtube,8,ref,REF_heapBuild,3,47.332,293920,62832,42394364
com-youtube,8,ref,REF_peel_loop,3,270.240,471064,177144,0
com-youtube,8,ref,dispatch_total,3,40.657,294128,-176936,0
com-youtube,12,ours,loadAndSort,3,1689.300,111964,109804,0
com-youtube,12,ours,buildSDCT,3,2700.940,121520,9556,363216
com-youtube,12,ours,preMutation,3,0.241,121520,0,0
com-youtube,12,ours,prepareGraph,3,69.107,101980,-19540,0
com-youtube,12,ours,dispatch_total,3,13.037,110752,8772,0
com-youtube,12,ref,loadAndSort,3,1639.630,111928,109772,0
com-youtube,12,ref,buildSDCT,3,2605.430,183384,71456,363216
com-youtube,12,ref,preMutation,3,0.192,183384,0,0
com-youtube,12,ref,prepareGraph,3,69.260,164080,-19308,0
com-youtube,12,ref,REF_initSupports,3,2.067,164080,0,9079128
com-youtube,12,ref,REF_heapBuild,3,41.382,217144,53064,32321744
com-youtube,12,ref,REF_peel_loop,3,148.450,394552,177408,0
com-youtube,12,ref,dispatch_total,3,9.080,217532,-177020,0
com-youtube,16,ours,loadAndSort,3,1639.700,112176,110064,0
com-youtube,16,ours,buildSDCT,3,2458.400,116832,4656,1152
com-youtube,16,ours,preMutation,3,0.081,116832,0,0
com-youtube,16,ours,prepareGraph,3,68.833,97292,-19540,0
com-youtube,16,ours,dispatch_total,3,8.227,106064,8772,0
com-youtube,16,ref,loadAndSort,3,1964.390,112196,110044,0
com-youtube,16,ref,buildSDCT,3,2447.830,178780,66584,1152
com-youtube,16,ref,preMutation,3,0.072,178780,0,0
com-youtube,16,ref,prepareGraph,3,69.410,159376,-19404,0
com-youtube,16,ref,REF_initSupports,3,0.636,159376,0,9079128
com-youtube,16,ref,REF_heapBuild,3,39.657,211680,52272,31778648
com-youtube,16,ref,REF_peel_loop,3,131.780,389088,177408,0
com-youtube,16,ref,dispatch_total,3,16.461,211896,-177192,0
web-Stanford,3,ours,loadAndSort,3,1251.140,51664,49552,0
web-Stanford,3,ours,buildSDCT,3,6602.360,332012,280352,30154944
web-Stanford,3,ours,preMutation,3,0.666,332012,0,0
web-Stanford,3,ours,prepareGraph,3,42.072,337224,5212,0
web-Stanford,3,ours,dispatch_total,3,381.577,346572,9348,0
web-Stanford,3,ref,loadAndSort,3,1249.530,51520,49372,0
web-Stanford,3,ref,buildSDCT,3,6476.420,347268,295756,30154944
web-Stanford,3,ref,preMutation,3,0.388,347268,0,0
web-Stanford,3,ref,prepareGraph,3,36.524,350380,3132,0
web-Stanford,3,ref,REF_initSupports,3,45.326,350396,0,2255232
web-Stanford,3,ref,REF_heapBuild,3,26.335,396280,45936,53125700
web-Stanford,3,ref,REF_peel_loop,3,521.545,520440,124080,0
web-Stanford,3,ref,dispatch_total,3,119.098,481368,-39028,0
web-Stanford,5,ours,loadAndSort,3,1230.950,51632,49424,0
web-Stanford,5,ours,buildSDCT,3,6491.230,336076,284448,23684976
web-Stanford,5,ours,preMutation,3,0.656,336076,0,0
web-Stanford,5,ours,prepareGraph,3,41.996,341328,5252,0
web-Stanford,5,ours,dispatch_total,3,323.659,341408,80,0
web-Stanford,5,ref,loadAndSort,3,1556.820,51632,49404,0
web-Stanford,5,ref,buildSDCT,3,6407.750,351332,299700,23684976
web-Stanford,5,ref,preMutation,3,0.479,351332,0,0
web-Stanford,5,ref,prepareGraph,3,36.118,354612,3280,0
web-Stanford,5,ref,REF_initSupports,3,44.093,354612,0,2255232
web-Stanford,5,ref,REF_heapBuild,3,22.617,390516,35904,43420748
web-Stanford,5,ref,REF_peel_loop,3,519.268,505884,115368,0
web-Stanford,5,ref,dispatch_total,3,102.920,475080,-30804,0
web-Stanford,10,ours,loadAndSort,3,975.390,51696,49584,0
web-Stanford,10,ours,buildSDCT,3,5839.900,178876,127180,6286416
web-Stanford,10,ours,preMutation,3,0.489,178876,0,0
web-Stanford,10,ours,prepareGraph,3,36.588,180236,1360,0
web-Stanford,10,ours,dispatch_total,3,130.348,180316,80,0
