graph,r,s,variant,status,alg_s,user_s,wall_s,max_rss_mb,exit_status
ca-HepPh,7,8,ARB-Hi,TIMEOUT,-1,-1,3600.1093711853027,-1,0
com-dblp,4,5,ARB,OK,224.230078,222.98,224.69,1798.0234375,0
com-dblp,3,5,ARB,OK,416.107495,416.37,416.5,301.69140625,0
ca-CondMat,3,11,ARB,OK,1319.256858,1319.25,1319.28,36.34765625,0
ca-CondMat,4,10,ARB,OK,2479.627156,2479.62,2479.67,46.92578125,0
ca-CondMat,7,9,ARB-Hi,OK,737.040474,737.0,737.07,189.93359375,0
ca-CondMat,3,9,ARB-Hi,OK,1673.875842,1673.87,1673.9,27.7421875,0
ca-CondMat,6,10,ARB,OK,3334.050264,3333.99,3334.1,131.8203125,0
ca-CondMat,5,10,ARB,TIMEOUT,-1,-1,3600.1030945777893,-1,0
ca-CondMat,6,9,ARB-Hi,OK,2802.449274,2802.41,2802.48,122.859375,0
ca-CondMat,3,12,ARB,OK,2317.166578,2317.17,2317.21,36.40625,0
ca-CondMat,7,11,ARB,TIMEOUT,-1,-1,3600.1208684444427,-1,0
ca-CondMat,5,9,ARB-Hi,TIMEOUT,-1,-1,3600.10417675972,-1,0
ca-CondMat,4,9,ARB-Hi,TIMEOUT,-1,-1,3600.1096296310425,-1,0
com-dblp,3,4,ARB-Hi,OK,24.012478,24.19,24.3,266.20703125,0
com-dblp,4,6,ARB,TIMEOUT,-1,-1,3600.127383708954,-1,0
com-dblp,3,6,ARB,TIMEOUT,-1,-1,3600.1235313415527,-1,0
ca-CondMat,4,11,ARB,TIMEOUT,-1,-1,3600.110149860382,-1,0
com-dblp,7,8,ARB,OOM,-1,643.43,643.61,101.25,134
ca-CondMat,7,10,ARB-Hi,TIMEOUT,-1,-1,3600.1206064224243,-1,0
com-dblp,7,8,ARB-Hi,OOM,-1,641.95,642.12,70.12890625,134
ca-CondMat,3,10,ARB-Hi,TIMEOUT,-1,-1,3600.109381914139,-1,0
com-dblp,4,5,ARB-Hi,OK,1118.733859,1117.12,1119.15,1378.6015625,0
ca-CondMat,6,11,ARB,TIMEOUT,-1,-1,3600.1185529232025,-1,0
com-dblp,5,6,ARB,TIMEOUT,-1,-1,3601.086890935898,-1,0
com-dblp,3,5,ARB-Hi,OK,1930.1699,1930.26,1930.46,257.140625,0
ca-CondMat,6,10,ARB-Hi,TIMEOUT,-1,-1,3600.1160218715668,-1,0
ca-CondMat,3,13,ARB,TIMEOUT,-1,-1,3600.078842639923,-1,0
com-dblp,6,7,ARB,TIMEOUT,-1,-1,3605.664447784424,-1,0
web-it-2004,4,5,ARB,OOM,-1,303.83,304.28,473.66015625,134
web-it-2004,4,5,ARB-Hi,OOM,-1,303.58,303.91,395.32421875,134
com-dblp,5,6,ARB-Hi,TIMEOUT,-1,-1,3600.984655380249,-1,0
com-dblp,6,7,ARB-Hi,TIMEOUT,-1,-1,3605.924377679825,-1,0
com-dblp,4,6,ARB-Hi,TIMEOUT,-1,-1,3600.106703042984,-1,0
web-it-2004,7,8,ARB,TIMEOUT,-1,-1,3600.0330526828766,-1,0
web-it-2004,5,6,ARB,TIMEOUT,-1,-1,3600.1270604133606,-1,0
web-it-2004,5,6,ARB-Hi,TIMEOUT,-1,-1,3600.1273798942566,-1,0
com-dblp,3,6,ARB-Hi,TIMEOUT,-1,-1,3600.12015748024,-1,0
web-it-2004,6,7,ARB,TIMEOUT,-1,-1,3600.032056093216,-1,0
web-it-2004,3,4,ARB,TIMEOUT,-1,-1,3601.0653619766235,-1,0
web-it-2004,3,4,ARB-Hi,TIMEOUT,-1,-1,3600.4275834560394,-1,0
web-it-2004,6,7,ARB-Hi,TIMEOUT,-1,-1,3600.1237869262695,-1,0
web-it-2004,7,8,ARB-Hi,TIMEOUT,-1,-1,3600.124043941498,-1,0
