dataset,s,r,cmd,timestamp,tree_build_ms,clique_index_ms,prog_time_ms,num_leaves,max_rss_kb,exit_status,dataset_name
/data1/wenqianz/com-dblp.edges,10,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 10,2025-08-31 02:06:52,496.023,,61.0,13829,163068,0,com-dblp
/data1/wenqianz/com-dblp.edges,11,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 11,2025-08-31 02:06:54,619.492,,66.0,10730,151660,0,com-dblp
/data1/wenqianz/com-dblp.edges,12,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 12,2025-08-31 02:06:55,507.04,,49.0,8574,143548,0,com-dblp
/data1/wenqianz/com-dblp.edges,13,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 13,2025-08-31 02:06:56,609.927,,56.0,6995,137304,0,com-dblp
/data1/wenqianz/com-dblp.edges,14,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 14,2025-08-31 02:06:58,615.517,,53.0,5799,133028,0,com-dblp
/data1/wenqianz/com-dblp.edges,15,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 15,2025-08-31 02:06:59,610.624,,50.0,4895,129368,0,com-dblp
/data1/wenqianz/com-dblp.edges,16,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 16,2025-08-31 02:07:00,612.673,,49.0,4201,127496,0,com-dblp
/data1/wenqianz/com-dblp.edges,17,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 17,2025-08-31 02:07:02,613.381,,48.0,3654,127048,0,com-dblp
/data1/wenqianz/com-dblp.edges,18,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 18,2025-08-31 02:07:03,609.734,,47.0,3215,126852,0,com-dblp
/data1/wenqianz/com-dblp.edges,19,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 19,2025-08-31 02:07:05,610.974,,46.0,2844,126508,0,com-dblp
/data1/wenqianz/com-dblp.edges,20,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 20,2025-08-31 02:07:06,583.209,,38.0,2519,126456,0,com-dblp
/data1/wenqianz/com-dblp.edges,21,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 21,2025-08-31 02:07:07,609.586,,45.0,2230,126076,0,com-dblp
/data1/wenqianz/com-dblp.edges,22,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 22,2025-08-31 02:07:09,615.621,,45.0,1975,125848,0,com-dblp
/data1/wenqianz/com-dblp.edges,23,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 23,2025-08-31 02:07:10,617.841,,45.0,1754,125532,0,com-dblp
/data1/wenqianz/com-dblp.edges,24,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 24,2025-08-31 02:07:12,611.127,,44.0,1566,125492,0,com-dblp
/data1/wenqianz/com-dblp.edges,25,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 25,2025-08-31 02:07:13,606.41,,44.0,1395,125228,0,com-dblp
/data1/wenqianz/com-dblp.edges,26,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 26,2025-08-31 02:07:14,610.202,,44.0,1240,125200,0,com-dblp
/data1/wenqianz/com-dblp.edges,27,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 27,2025-08-31 02:07:16,611.681,,44.0,1100,124896,0,com-dblp
/data1/wenqianz/com-dblp.edges,28,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 28,2025-08-31 02:07:17,607.731,,43.0,975,124884,0,com-dblp
/data1/wenqianz/com-dblp.edges,29,1,./build/bin/degeneracy_cliques /data1/wenqianz/com-dblp.edges 1 29,2025-08-31 02:07:19,611.94,,43.0,866,124892,0,com-dblp
